horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
33 days,97.90329174041135,9.894609226261103,7.876816500105498,0.09055104315763464,0.0751532799310225,0.09134615223342128,0.3736772486772487,33,2024-05-11
34 days,99.30803917083867,9.965341899344882,7.964347418095948,0.09149589782601783,0.08206150269289003,0.09234074590719704,0.3714285714285714,34,2024-05-12
35 days,105.70423596604148,10.281256536340365,8.17273122875645,0.09410007197818325,0.0830187376303951,0.09479275639681496,0.3791208791208791,35,2024-05-13
36 days,111.85878573351337,10.576331392950648,8.314625355080286,0.09621484154229674,0.07960154988527682,0.09674111198037824,0.39377289377289376,36,2024-05-14
37 days,110.30350455022626,10.502547526682575,8.12088379433332,0.09400279936107665,0.07237153678540266,0.0949255548769824,0.4467120181405896,37,2024-05-15
38 days,114.81766883831176,10.715300688189378,8.236470446386505,0.09493570830354135,0.07006216097574859,0.09529670467571649,0.47883597883597884,38,2024-05-16
39 days,116.56036796714226,10.79631270236011,8.275197206124291,0.09519745946789224,0.0673756363100767,0.09542441516012949,0.49503968253968256,39,2024-05-17
40 days,114.61595632850485,10.70588419181269,8.104484281523904,0.09309454959919472,0.0661051380441558,0.09325765119683462,0.526984126984127,40,2024-05-18
41 days,107.90359600569245,10.387665570554939,7.73240652781633,0.08889149812253828,0.05964824347673607,0.08912184358386493,0.5774976657329599,41,2024-05-19
42 days,115.45351183993051,10.744929587481275,7.8812722541278815,0.09026820523183934,0.058591617196846676,0.09023643508808168,0.5814814814814815,42,2024-05-20
43 days,120.54076633248356,10.979105898591358,7.986157800482978,0.09148735102228758,0.06043953387461705,0.09125944075564696,0.5873015873015873,43,2024-05-21
44 days,115.42368666102256,10.743541625601054,7.744985672745673,0.08887333708995165,0.058591617196846676,0.08900289309712207,0.607843137254902,44,2024-05-22
45 days,125.37536815770991,11.197114278139253,8.136542086195659,0.09255423712079812,0.05757485774250866,0.09333185148659415,0.6069094304388422,45,2024-05-23
46 days,134.15438373499464,11.582503344916185,8.511640740306955,0.0969739646763371,0.05993349362517715,0.09796703314012163,0.580952380952381,46,2024-05-24
47 days,137.4465860364335,11.723761599266401,8.531353331962501,0.09656047614303505,0.058591617196846676,0.0981234106794862,0.5904761904761905,47,2024-05-25
48 days,136.90249408034495,11.700533922874843,8.38200769050238,0.09459950185210288,0.05857575491250451,0.09622411963107155,0.6209150326797386,48,2024-05-26
49 days,140.56671756656672,11.856083567796185,8.590225797472307,0.0965925715915428,0.05857575491250451,0.09755948671556965,0.6296296296296295,49,2024-05-27
50 days,158.44526330430082,12.587504252404479,9.260575288901274,0.10316356626886033,0.06685309935000705,0.10431446985456273,0.6105006105006104,50,2024-05-28
51 days,180.8035058158287,13.44631941520908,9.933432876708913,0.10930311642446745,0.07271679435707394,0.1112811231882362,0.5891330891330891,51,2024-05-29
52 days,190.21017389756054,13.791670453486066,10.23880664845692,0.11272273364025293,0.07805365313249721,0.114913943464864,0.5848595848595849,52,2024-05-30
53 days,200.69703180497308,14.16675798497924,10.615356843930504,0.1168882011819959,0.09725256260087586,0.11914293626349982,0.564935064935065,53,2024-05-31
54 days,200.9047555486483,14.174087467934163,10.50449497126148,0.11634577181089487,0.09529361990411214,0.11804290792445292,0.5750915750915752,54,2024-06-01
55 days,193.42060839648877,13.907573778214832,10.10438692197488,0.11159762746312377,0.08175008028416661,0.11303029920989191,0.6133786848072563,55,2024-06-02
56 days,195.93396995084632,13.99764158531166,10.221423232564229,0.11362493834147812,0.09112210878640437,0.11464551267368624,0.6111111111111112,56,2024-06-03
57 days,203.0359045905332,14.249066797181252,10.497734205485672,0.11638460296218549,0.09529361990411214,0.11765942884026996,0.5982905982905983,57,2024-06-04
58 days,207.45081730337134,14.403153033394158,10.496241684605758,0.11601106672253146,0.09195874160933469,0.11838731906737236,0.6050420168067226,58,2024-06-05
59 days,214.32668390202647,14.639900406151213,10.696959378203976,0.11907000284572698,0.09310737086152748,0.12139610808112807,0.6117216117216118,59,2024-06-06
60 days,202.01158408083327,14.213077924251076,10.40929242207794,0.11716101241300395,0.09195874160933469,0.11980981766939586,0.6280423280423281,60,2024-06-07
61 days,193.69069127563594,13.917280311743237,10.154325083744295,0.11440795188876599,0.092813317621009,0.1171597365400752,0.6562881562881563,61,2024-06-08
62 days,191.2288828486165,13.828553172643062,9.928009312999064,0.11176223434796963,0.0900236210319939,0.11367412453639322,0.6888888888888889,62,2024-06-09
63 days,204.31669244973753,14.293939010984255,10.255370783684128,0.11520250505821154,0.08771375021084499,0.11661790977369484,0.6841269841269841,63,2024-06-10
64 days,221.67379461553506,14.888713665576857,10.602120648366574,0.11806549713322595,0.08566379002890688,0.11979668322684642,0.6813186813186812,64,2024-06-11
65 days,239.36517035032995,15.471430779030424,10.939168513869843,0.12096728871966407,0.08374043440825024,0.12262590756310202,0.6813186813186812,65,2024-06-12
66 days,267.58553304082614,16.358041846163193,11.61405457647024,0.1280203966376488,0.08653818888986586,0.1293320869062536,0.6666666666666666,66,2024-06-13
67 days,281.27191960331686,16.771163334823164,11.917789146633877,0.13080669166282133,0.08653818888986586,0.13267627170762059,0.6557539682539683,67,2024-06-14
68 days,268.40871565579,16.383183929132638,11.491750073635052,0.1267695046344577,0.08075822194714974,0.1276260524460398,0.680952380952381,68,2024-06-15
69 days,275.38487438761626,16.59472429381146,11.563570661534431,0.1274686128004268,0.08075822194714974,0.12713237393774562,0.7028769841269841,69,2024-06-16
70 days,296.249629591481,17.211903717819276,11.92174343057035,0.13107319068071563,0.07628314502096692,0.13057144736472662,0.7031746031746031,70,2024-06-17
71 days,300.38766934073914,17.331695512578655,12.066290007739747,0.13202036376937598,0.07861470716073723,0.13198105465004792,0.7063492063492064,71,2024-06-18
72 days,298.89084164504516,17.28845978232431,12.071923743824366,0.1314650473806357,0.0807618947622321,0.13231216188152117,0.7193877551020408,72,2024-06-19
73 days,316.30062336727576,17.784842517359433,12.688604516564379,0.1392075685412963,0.09607836363331279,0.13927627420243657,0.71005291005291,73,2024-06-20
74 days,306.1471933289966,17.49706241998915,12.707745341898093,0.14050267423119656,0.1012386175951584,0.14142872102680157,0.7203907203907204,74,2024-06-21
75 days,274.15102874740137,16.557506718929677,12.011751993554636,0.13426335697213274,0.1012386175951584,0.13550119941334035,0.7534722222222222,75,2024-06-22
76 days,267.5521762551004,16.3570222306843,11.896443895969174,0.13401469189464577,0.1012386175951584,0.13454281110615016,0.7692307692307692,76,2024-06-23
77 days,279.7530973944269,16.725821277127977,12.144339415485046,0.1376616845260107,0.10803688524240031,0.13692529177541557,0.7822420634920635,77,2024-06-24
78 days,297.38659510890665,17.24490055375521,12.625070702407303,0.14247686730056872,0.10975873774275158,0.1423228569633965,0.7893772893772895,78,2024-06-25
79 days,299.2364947473277,17.298453536294154,12.77896955109922,0.14412834371686473,0.11658506098981118,0.1448453087887241,0.7993197278911565,79,2024-06-26
80 days,304.692170291604,17.455433832809884,13.084605890493883,0.1477030195405386,0.12024434571986961,0.14843413280538392,0.8015873015873016,80,2024-06-27
81 days,305.5183489826503,17.479083184842686,13.359982496531662,0.15199253445988362,0.12245750421489915,0.15236105129784966,0.8058608058608058,81,2024-06-28
82 days,277.1168292652599,16.64682640220832,12.715696673357371,0.1452136495457993,0.12098877844867283,0.14584994090865316,0.8333333333333334,82,2024-06-29
83 days,290.3590721080967,17.03992582460665,12.755717596333602,0.14492897727929738,0.11693607354195282,0.14335971881810336,0.8278388278388278,83,2024-06-30
84 days,310.3636736574666,17.61714147236908,13.232298685675458,0.14923080015070334,0.11693607354195282,0.1476534910922054,0.8139329805996472,84,2024-07-01
85 days,295.5216552556052,17.190743301428395,12.854906594339033,0.14402630487182244,0.10853210741772606,0.1433938909744555,0.8310657596371882,85,2024-07-02
86 days,281.03285801522577,16.764034658017913,12.615841844763711,0.1415236606995812,0.1076275229723242,0.14111917713297503,0.8363095238095238,86,2024-07-03
87 days,293.88606503603387,17.143105466514342,13.048793436171351,0.14592275760072898,0.1077187269165657,0.14451927993494407,0.8263888888888888,87,2024-07-04
88 days,280.5342740084653,16.749157411895837,12.868237239148204,0.14405832041748579,0.11041590389230849,0.14300001881768115,0.8356009070294785,88,2024-07-05
89 days,262.88358640097476,16.21368515794527,12.452277973745364,0.13990140511233898,0.10091106814435075,0.1390108621337127,0.8548085901027077,89,2024-07-06
90 days,270.60901975576905,16.45019816767473,12.56130044001648,0.14002760404993034,0.10430299999562154,0.1395068133716147,0.8581349206349206,90,2024-07-07
